O	1 數 一 【替】tsi̍t ['一', '蕊', '花', ' '] 一朵花
O	3 熟 一刀兩斷 it-to-lióng-tuān ['\ue701', '兩', '兄弟', '仔', '為', '著', '拚生理', '，', '就按呢', '一刀兩斷', '無', '來去', '。'] 他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。
O	6 時 一月日 tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t ['你', '一月日', '趁', '偌濟', '錢', '？'] 你一個月賺多少錢？
O	7 熟 一日到暗 tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm ['你', '毋', '好', '一日到暗', '拋拋走', '。'] 你不要一天到晚四處亂跑。
O	9 名 一世人 tsi̍t-sì-lâng ['我', '一世人', '毋', '捌', '做', '過', '對', '不', '起', '別人', '的', '代誌', '。'] 我一輩子不曾做過對不起他人的事。
O	10 名 一半 tsi̍t-puànn ['買', '果子', '的', '錢', '，', '一', '人', '愛', '出', '一半', '。'] 買水果的錢，一人要出一半。
O	11 名 一半个仔 tsi̍t-puànn-ê-á ['有', '一半个仔', '人客', '真', '𠢕', '嫌', '東', '嫌', '西', '。'] 有一兩個客人很會嫌東嫌西。
O	12 熟 一半日仔 tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á ['頭家', '人', '真', '好', '，', '我', '一半日仔', '無去', '，', '伊', '嘛', '袂', '按怎', '。'] 老闆人真好，我一兩天沒去，他也不會怎樣。
O	13 副 一四界 tsi̍t-sì-kè/tsi̍t-sì-kuè ['物件', '毋通', '掖', '甲', '一四界', '。'] 東西不要撒得滿地都是。
O	14 副 一旦 it-tàn ['一旦', '地動', '，', '彼', '間', '厝', '就', '會', '倒', '。'] 一旦地震，那間房子就會倒。
O	15 形 一生 it-sing ['做', '教授', '是', '我', '一生', '的', '願望', '。'] 當教授是我一生的願望。
O	16 時 一目𥍉仔 tsi̍t-ba̍k-nih-á ['對', '阮', '厝', '到', '公', '司', '，', '行路', '一目𥍉仔', '就', '到', '矣', '。'] 從我家裡到公司，走路只要一眨眼的時間就可以到了。
O	19 副 一來 it--lâi ['一來', '我', '無', '時間', '，', '二', '來', '我', '無', '興趣', '，', '所以', '我', '無', '欲', '參加', '。'] 一來我沒時間，二來我沒興趣，所以我沒有要參加。
X	20 副 一定 it-tīng ['你', '講', '過', '的', '話', '，', '一', '定', '愛', '會記得', '。'] 你說過的話一定要記得。
O	21 副 一直 it-ti̍t ['一直', '向前', '行', '，', '毋免', '轉斡', '。'] 一直向前走過去，不用轉彎。
